Site_ID,Asset_Type,Related_ID,File,Caption,Display_Order,External_URL,Embed_HTML,Notes
C1,current_photo,C1,detail_assets/photos/C1_photo_01.jpg,,1,,,
C1,current_photo,C1,detail_assets/photos/C1_photo_02.jpg,,2,,,
C1,current_photo,C1,detail_assets/photos/C1_photo_03.jpg,,3,,,
C1,current_photo,C1,detail_assets/photos/C1_photo_04.jpg,,4,,,
C1,current_photo,C1,detail_assets/photos/C1_photo_05.jpg,,5,,,
C1,current_photo,C1,detail_assets/photos/C1_photo_06.jpg,,6,,,
C1,current_photo,C1,detail_assets/photos/C1_photo_07.jpg,,7,,,
C1,current_photo,C1,detail_assets/photos/C1_photo_08.jpg,,8,,,
C1,current_photo,C1,detail_assets/photos/C1_photo_09.jpg,,9,,,
C1,current_photo,C1,detail_assets/photos/C1_photo_10.jpg,,10,,,
C1,current_photo,C1,detail_assets/photos/C1_photo_11.jpg,,11,,,
C1,drawing,C1,detail_assets/drawings/C1_drawing_01.jpg,Plan (Estimated Reconstruction Plan),1,,,
C1,drawing,C1,detail_assets/drawings/C1_drawing_02.jpg,East Elevation,2,,,
C1,drawing,C1,detail_assets/drawings/C1_drawing_03.jpg,N-S Section,3,,,
C1,drawing,C1,detail_assets/drawings/C1_drawing_04.jpg,E-W Section,4,,,
C1,old_photo,C1,detail_assets/oldphotos/OP_0003.jpg,Exterior: from south-east,1,,,
C1,old_photo,C1,detail_assets/oldphotos/OP_0007.jpg,Around false door opening with decorative lintel and colonnette: south face,2,,,
C1,old_photo,C1,detail_assets/oldphotos/OP_0008.jpg,"Upper part of the colonnette: west face, north side",3,,,
C1,old_photo,C1,detail_assets/oldphotos/OP_0009.jpg,"Middle part of colonnette: west face, south side",4,,,
C1,old_photo,C1,detail_assets/oldphotos/OP_0058.jpg,"Lion: east face, north side",5,,,
C1,old_photo,C1,detail_assets/oldphotos/OP_0059.jpg,"Decorative colonnette: north face, west side",6,,,
C1,old_photo,C1,detail_assets/oldphotos/OP_0060.jpg,"Decorative colonnette: north face, east side",7,,,
C1,old_photo,C1,detail_assets/oldphotos/OP_0061.jpg,Decorative lintel and colonnette (above false door opening): north face,8,,,
C1,old_photo,C1,detail_assets/oldphotos/OP_0062.jpg,"Decorative colonnette: south face, east side",9,,,
