Site_ID,Parent_ID,Code,Display_No,CISARK_No,Name,Function,Importance,Building_Type_Label,Composition,Condition,Stand_in,Dimension,Inscription,Stone_object,Description,Detail_web,UTM_E,UTM_N,Notes
M001,,M001,M.1,,Prasat Kuk Svay,,B3,Mound / Structural Remains,Single shrine with a pond at north side,Mound with brick and laterite scatter,Bush,"H: 1, NS: 16, EW:16 (m)",None,512-527,"Many brick and laterite blocks are scattered. The structure is completely disturbed by looting, and the original position of the brick structure could not be adequately determined. Many decorated stone objects are scattered around.",details/M001.html,509765,1423437,
M002,,M002,M.2,6870,Prasat Kuk Svay,,B3,Mound / Structural Remains,Single shrine,Mound with brick and some stone elements,Vacancy,"H: 2.4, NS: 30, EW:29 (m)",None,None,Contemporary Nak Ta shrine stands on this mound. The building itself is destroyed and a small number of the brick pieces are scattered around. Local people collected soil from here and the southern part of this mound was destroyed recently. They said that some iron pieces were found in this soil.,details/M002.html,507414,1422708,
M003,,M003,M.3,7560,Wat Chas,,B3,Mound / Structural Remains,Single shrine,"Mound with brick, stone elements and looted hole",Forest,"H: 1.0, NS: 27, EW:21 (m)",None,"383, 391, 530-532","There are some scattered bricks, 4 sandstone basements of boundary stone (Sima) and one panel of sandstone (B000U02) which represents the gods of 9 planets around this monument. Because of the existence of boundary stones, this monument is assumed to be constructed in the post Angkor period. This sandstone is reused because other faces are sculpted with floral decorations that are identified in Pre-Angkor style. Mysteriously in spite of this sandstone panel being found here in 2004 and moved into conservation storehouse in Sambor Prei Kuk, this element was recorded in an old photo taken in the 1960s in the storeroom.",details/M003.html,506308,1424189,
M004,,M004,M.4,3619,Prasat Lok Yeai,,B3,Mound / Structural Remains,Single shrine,Mound with brick and looted hole,Forest,"H: 1.8, NS: 19, EW:13 (m)",None,None,"This is an unexcavated mound with many scattered bricks. On the mound, one line of brick pavement was confirmed which suggested it to be part of a wall. There is another mound without brick at the north side of this mound.",details/M004.html,505756,1423967,
M005,,M005,M.5,7567,Tuol Ta Dong,,B3,Mound / Structural Remains,Single shrine,Mound with brick,Agricultural field,"H: 0.6, NS: 9, EW:12 (m)",None,None,"This mound is located at the eastern side of Boeung Chea Kay pond. This is an unexcavated mound with a small number of scattered brick fragments. On the mound, some modern bricks (burned in French period) were confirmed. The surrounding of this mound is depressed. Local belief is that this mound persists with the spirit of Nak-Ta, and on which one wooden shrine has been erected.",details/M005.html,506468,1421559,
M006,,M006,M.6,7500,Prasat Kong Veang,,B2,Ruined Independent Structure,Single shrine,"Remain with the upper half of wall and platform, and looted hole",Forest,"H: 2.2, NS: 9, EW:13 (m)",None,533-536,"This mound is on the opposite side of M.005, western side of Boeng Chea Kay pond. Many sandstone objects are scattered on the mound. The most important stone is a lintel in Sambor Prei Kuk style. Wooden shrine for the local belief for Nak-Ta is located near this building.",details/M006.html,505570,1421507,
M007,,M007,M.7,7562,Prasat Chreav,,B3,Mound / Structural Remains,Single shrine with pond,"Mound with brick, laterite and looted hole",Forest,"H: 1.0, NS: 10, EW:8 (m)",None,None,This mound is covered by accumulated brick and laterite. Most of the laterite block is fragmented and has lost original shape. The depth of looted hole is about 2.3m and a brick wall remains at the east and north side of the hole. There is one pond at the eastern side of this mound.,details/M007.html,504722,1424548,
M008,,M008,M.8,7561,Prasat Anlong Damrei,,B3,Mound / Structural Remains,Single shrine with a pond at east side,"Mound with brick, laterite and looted hole",Forest,"H: 1.0, NS: 10, EW:14 (m)",None,None,"This mound is covered by accumulated brick, laterite and pebbles. At the northern slope, many different size pebbles are confirmed. There are two looted holes on it. Dimension of the central hole is 2.5m (N-S) by 2m (E-W) and 2m depth. Inside the hole, the northern brick wall remained at 0.6m in height and the structures around the entrances are 0.7m in height. There is one pond at the eastern side of this mound.",details/M008.html,504722,1424171,
M009,,M009,M.9,7556,N31 Group,,A1,Temple Complex,7 shrines and 1 pond at northeast side,,,,,,"This group of temple (M.9), M.11 and M.12 are located on the higher land. When worshippers access here from east side, they are gradually ascending the slope to the temples. Seven shrines align on a NNE-SSW line despite many temples face to east or slightly counterclockwise direction (15 degree from true east). One pond with laterite embankment is located at the northeast side of this temple group. Water channel which started from O Krou Ke river to Seng river pass at the north of this group to WSW direction. It is probably that the orientation of this group is planned to face parallel to this river. The seven structures are severely damaged, and no dating material such as inscription and decorative element have never found from this group.",details/M009.html,504867,1423647,
N31-1,M009,N31-1,N31-1,,,3rd north shrine,A3,Ruined Shrine within Complex,,Mound with brick,,"H: 2.9, NS: 15, EW:17 (m)",None,None,,details/N31-1.html,504848,1423690,
N31-2,M009,N31-2,N31-2,,,2nd north shrine,A3,Ruined Shrine within Complex,,Mound with brick,,"H: 3.0, NS: 12, EW:16 (m)",None,None,,details/N31-2.html,504845,1423675,
N31-3,M009,N31-3,N31-3,,,1st north shrine,A3,Ruined Shrine within Complex,,"Mound with brick, stone element and looted hole",,"H: 2.7, NS: 13, EW:17 (m)",None,None,Interior brick wall is confirmed partially. Door frame remained and opens to the east direction.,details/N31-3.html,504841,1423662,
N31-4,M009,N31-4,N31-4,,,Central shrine,A3,Ruined Shrine within Complex,,Mound with brick and looted hole,,"H: 2.2, NS: 15, EW:14 (m)",None,None,Interior brick wall is confirmed partially.,details/N31-4.html,504836,1423649,
N31-5,M009,N31-5,N31-5,,,1st south shrine,A3,Ruined Shrine within Complex,,Mound with brick,,"H: 1.8, NS: 13, EW:16 (m)",None,None,,details/N31-5.html,504835,1423634,
N31-6,M009,N31-6,N31-6,,,2nd south shrine,A3,Ruined Shrine within Complex,,Mound with brick and looted hole,,"H: 3.0, NS: 16, EW:19 (m)",None,None,One looted hole remains at the center is 3.4m deep. Brick wall partially appears in this hole.,details/N31-6.html,504832,1423621,
N31-7,M009,N31-7,N31-7,,,1st south shrine,A3,Ruined Shrine within Complex,,Mound with brick,,"H: 1.7, NS: 11, EW:14 (m)",None,None,This is smallest mound in this group. Small amount of the brick is scattered on the mound.,details/N31-7.html,504828,1423606,
M010,,M010,M.10,3505,Prasat Sandan,,B1,Independent Shrine,Single shrine with enclosure wall,Remain with the upper half of the roof part,Vacancy,,"384, 385 (stucco)",None,"A pathway to M.009 and M.011 and M.012 is cut across in this temple enclosure wall. Orientation of this temple is rotated counterclockwise (approximately 8 degree from true east). Enclosure laterite wall (approx. 85m EW direction, 65m NS direction) is partially confirmed although nearly all part is collapsed. Several number of cylindrical shaped laterite blocks are scattered at the east side. Plan of this shrine is rectangular with double projection at each side. 3 tiers of roof remains. Some of the edicule decorations at the upper layer are still preserved. Decorative curving on the exterior wall, Lintel, Colonnette, Pilaster, and figures in each Flying Palace, might be chipped off in the later period. Decorative stucco is partially remained only on the flying palace, and curving on the brick and stucco decoration is different. Therefore, all removed decorations were changed by the new finishing material in the later period. Interior is completely damaged by previous looting. Some of the dangerous trees near the shrine were removed by SCP.",details/M010.html,504920,1423430,
M011,,M011,M.11,7555,N31 Group,,A1,Temple Complex,4 shrines in north-south alignment,,,,,,"It is unclear if these shrines consisted of a single complex or individual shrines, or, these four shrines belong to M.12 temple. Two shrines locates on north of footpath, and other two on south.",details/M011.html,504673,1423498,
N32-1,M011,N32-1,N32-1,,,1st north shrine,A3,Ruined Shrine within Complex,,Mound with brick,,"H: 1.4, NS: 14, EW:9 (m)",None,None,Upper structure is completely missing. Small amount of brick fragments are the only elements confirmed on this mound.,details/N32-1.html,504643,1423548,
N32-2,M011,N32-2,N32-2,,,2nd north shrine,A3,Ruined Shrine within Complex,,"Mound with brick, laterite, some stone objects and looted hole",,"H: 1.6, NS: 14, EW:9 (m)",None,538,"Upper structure is completely missing. There are many accumulated brick, laterite and pebbles. There are two fragments of a sandstone pedestal which can be joined together at the southern edge of this mound. There is a looted deep hole (depth is 3.6m) at the center of mound. Some brick masonry is remaining in the hole.",details/N32-2.html,504644,1423526,
N32-3,M011,N32-3,N32-3,,,2nd south shrine,A3,Ruined Shrine within Complex,,Mound with brick and stone object,,"H: 1.0, NS: 7, EW:8 (m)",None,537,Upper structure is completely missing. Only small amounts of brick are scattered. One sandstone element that seems to be a part of colonnette is found on this mound.,details/N32-3.html,504638,1423472,
N32-4,M011,N32-4,N32-4,,,1st south shrine,A3,Ruined Shrine within Complex,,Mound with brick,,"H: 1.1, NS: 8, EW:10 (m)",None,None,Upper structure is completely missing. Only a small amount of bricks are scattered.,details/N32-4.html,504637,1423458,
M012,,M012,M.12,3508,Prasat Anlong Chambok or Prasat Bos Ream,,B1,Independent Shrine,Single shrine with enclosure wall and a pond at northeast side,"Remain with upper half of roof part, looted hole",Forest,,None,None,"This brick shrine is a relatively well conserved building. Laterite enclosure wall which is surrounding this shrine (approx. 60m in east-west direction and 35m in north-south direction) and the middle point of the east side has mound which is probably buried a gate structure. One pond with laterite embankment is located at the northeast of this enclosure. Many roots entwine the shrine. Looted hole is not back filled. Plan of this shrine is rectangular, and three sides exclude the east front side have central projection, but the projection is very shallow. Typical decorative elements such as lintel and colonnette are not engraved around the false door at the projected part. This simple designing pattern is similar to M.17 (N18) and M.21 (N.22).",details/M012.html,504483,1423506,
M013,,M013,M.13,3504,N20 Group,,A1,Temple Complex,3 shrines in north-south alignment,,,,,,Parmentier described only the south shrine which is most well preserved structure. North and Central shrines were completely destroyed and remained as mounds.,details/M013.html,504891,1423263,
N20-1,M013,N20-1,N20-1,,,North shrine,A3,Ruined Shrine within Complex,,"Mound with brick, laterite and some stone elements",,"H: 1.7, NS: 10, EW: 11 (m)",None,544,This is an unexcavated mound with scattered bricks and small laterite blocks. Size of laterite blocks are almost same size as brick pieces. The amount of laterite block is much greater than brick.,details/N20-1.html,504870,1423285,
N20-2,M013,N20-2,N20-2,,,Central shrine,A3,Ruined Shrine within Complex,,"Mound with brick, laterite and some stone elements",,"H: 1.6, NS: 11, EW: 12 (m)",None,"543, 547, 551-554","This mound was disturbed by the looted hole; 2.0m depth * 1.7m NS * 2.1m EW. Some parts of brick masonry remain in the looted hole. Though this is a middle shrine of a three shrines complex, the volume of this mound is not as big as a central shrine that is supposed to be greater than two shrines beside it. Amount of laterite block is almost same as brick. A scattered pedestal is small and rectangle in shape.",details/N20-2.html,504870,1423264,
N20-3,M013,N20-3,N20-3,,,South shrine,A2,Shrine within Complex,,Remain with the upper half of the wall and platform,,,K.439,"329, 352, 539-542, 545, 546, 548-550","This is rectangular planed shrine. Upper roof structure is collapsed, but part of wall remained. This building is a different style from other brick shrines in Sambor Prei Kuk. Curving of Flying Palace, pilaster, and somasutra are of a unique design. One of the lintels (No. 352, B000L07) was excavated in front of this shrine in 2000 by SCP. A large pedestal of an interesting style is scattered in front of the shrine. This pedestal is similar style with the pedestal that was excavated at the top of Mak Pi (M.050). In 2025–2026, the National Authority for Sambor Prei Kuk conducted excavation work and restoration/installation work on a sandstone mandapa discovered in front of the eastern side of this shrine. The mandapa was a canopy-type pedestal with four pillars, similar to the mandapa of Prasat Yeai Poeun, and was decorated with elaborate carvings.",details/N20-3.html,504870,1423243,
M014,,M014,N19,3501,No name,,B1,Independent Shrine,Single shrine but inside the outer enclosure of Prasat Sambor,Remain with the upper half of the roof part,Vacancy,,None,None,"This building is located on the slightly high land from the Prasat Sambor. This shrine is still conserved almost top of the roof. The elevation of this tower is of an individual style in this group of the monument. This square planed shrine faces to west direction. Bowl of the Somasutra is installed on the north wall, and two wooden boards were originally sat at the back wall and one board was sat at the left (north) wall. Trace for support the ceiling is also very unique. Holes for inserting the beams remained on the east and west wall. Some of the dangerous trees around the shrine were cut by SCP. In 2025, the National Authority for Sambor Prei Kuk conducted trench excavations around the exterior of the building to investigate the structure of its base and its relationship with the surrounding terrain. Partial reinforcement and conservation works were also carried out.",details/M014.html,504715,1423131,
M015,,M015,M.15,200,Prasat Deom Cham,,A1,Temple Complex,"3 shrines in north-south alignment,",,,,,,"3 shrines originally stood in north-south alignment, but only the central shrine is preserved today, and both structures beside it were completely collapsed. This group is located inside the outer enclosure of Prasat Sambor and positions at the symmetrical position with the N22 shrine in the complex Prasat Sambor.  In the 2020s, the National Authority for Sambor Prei Kuk removed accumulated deposits at the site, exposed the bases of the three shrines, and carried out consolidation measures.",details/M015.html,504735,1423026,
N15,M015,N15,N15,,,Central shrine,A2,Shrine within Complex,,Remain with the upper half of the roof part,,,K.148,"82, 555-558","Plan of this shrine is rectangular and two steps of projection at each sides. This shrine is in sound condition. Wall and three tier of roof structure are well observed. Decoration elements around the door, lintel and colonnette, pediment is curved out from brick at three sides except for the facade. Style of these lintels is in Sambor Prei Kuk style. Although Parmentier mentioned that this shrine was constructed in the later period than the main temples of Sambor Prei Kuk, the evidence is not clear. An inscription date in 10th century, but this engraving might be later than construction work. Decoration of the lintel, Flying Palace, and so on is similar design to the shrines of N group, and the analysis of brick was also belonged into same zone of the main shrines of N group. One stone lintel was confirmed by old photograph, but this element is missing today.",details/N15.html,504724,1423026,
N16-1,M015,N16-1,N16-1,,,North shrine,A3,Ruined Shrine within Complex,,Mound with brick,,,K.438,None,"Upper structure is completely missing, and some stone elements are scattered. The shrine was probably remaining at the beginning of 20th century, because Parmentier described on this shrine in detail.",details/N16-1.html,504724,1423034,
N16-2,M015,N16-2,N16-2,,,South shrine,A3,Ruined Shrine within Complex,,Mound with brick,,,None,None,"Upper structure is completely missing, and some stone elements are scattered.",details/N16-2.html,504726,1423017,
M016,,M016,N17,3503,Ashram Maha Rosei,,A2,Shrine within Complex,"Single shrine with terrace, inside the outer enclosure of Prasat Sambor.","Some stone elements were missing, but nearly complete remains",Vacancy,,None,None,"One of the most unique sandstone buildings in this group of monument. Almost all stone elements remain, except for both colonnettes and lintel. Pedestal in the chamber is also missed, but trace of the shape of pedestal is observed on the floor. There are many bullet holes on the wall. Parmentier recorded the existence of the terrace that was confirmed by the excavation survey. Confirmed terrace is square, almost 9m each and eastern side was projected plan (Pl.25, AKP). It is a very acceptable theory that this building was covered by another bigger wooden structure. In the 2020s, with financial support from the Government of India, the National Authority for Sambor Prei Kuk conducted excavations around the building, reconfirming the terrace structure recorded by Parmentier. A major restoration project was also carried out: all sandstone elements of the building were dismantled, conserved, and reassembled.",details/M016.html,504623,1423007,
M017,,M017,N18,3502,Prasat Chrey,,A2,Shrine within Complex,"Single shrine with a pond at west side, inside the outer enclosure of Prasat Sambor",Remain with the top of the roof part,Vacancy,,K.149,None,"One of the best preserved brick shrines in this group of monument. Almost all exterior decoration of the wall and upper three tiers of roof structure remain except for the eastern projected part. There is no edicule decoration on the wall, called Flying Palace, but the wall of the each upper tier has the edicule decorations. Typical decoration elements, lintel, colonnette, is not engraved around the false doors. This type of the architectural style is similar to M.21 (N22). Although M.12 (N24) might be similar style to this shrine, it is difficult to distinguish because the upper part of decoration of M.12 was largely missed. Sandstone board is installed at the back wall of interior space. It is only single example of remaining this board, though several shrines can be observed the trace of board on the interior wall. Somasutra is installed in the north wall. Roots of the tree entwine around this shrine, and making an amazing sight. However, some part of this shrine is in a very dangerous condition because roots also entwine in the interior, and invade the brick structure. Long branches were cut back several times by SCP. One pond is locates at the northwest side of the shrine.",details/M017.html,504570,1423042,
M018,,M018,M.18,7544,None,,A3,Ruined Shrine within Complex,"Single long structure, inside the outer enclosure of Prasat Sambor",Mound with brick and laterite,Forest,"H: 1.9, NS: 16, EW: 40 (m)",None,None,This is a single mound that is located at the western bank of M.017’s pond. This is an unexcavated mound with laterite and small amount of bricks. Laterite pavement is confirmed at the north side of the mound. There is a bombed crater 5m away in a northwest direction.,details/M018.html,504461,1423048,
M019,,M019,N23,3507,None,,A3,Ruined Shrine within Complex,Single shrine,Remain with the lower half of the wall and plat form,Agricultural field,"H: 2.0, NS: 13, EW: 18 (m)",None,559,"It is a single brick building of laterite. This shrine is isolated in the lower flooded area but it may be a related building with temple complex, Prasat Sambor. One layer of pedestal is confirmed from the eastern side of the mound. Door frame elements, sill and jamb remain in the original position. Interior wall 0.5m in height remains, and no looted hole is confirmed.",details/M019.html,504939,1422816,
M020,,M020,M.20_Pr. Sambor,198,Prasat Sambor,,A1,Temple Complex,Large complex,,,,,,"One of the three most important temple complexes. This temple is surrounded by three enclosure walls, although previously it was recognized that the temple compounds were limited in two enclosure area. Outer most enclosure is square plan and each side 389m. But it is not sure when the outer most enclosure was constructed. An earthen dike, causeway for this temple, extended about 2km to the east direction from the east step structure N34.",details/M020.html,504620,1422790,
