Site_ID,Serial_No,Object_No,Item,File,Caption,Display_Order,As_found,Estimated_Original,Notes
S17-6,63,A000I04,Jamb with Inscription,detail_assets/stone_objects/AI_063.jpg,Jamb with Inscription,1,"Prasat Yeai Poeun, S17-6","Prasat Yeai Poeun, S17-6",
S15,65,A000I06,Jamb with Inscription,detail_assets/stone_objects/AI_065.jpg,Jamb with Inscription,1,"Prasat Yeai Poeun, S15","Prasat Yeai Poeun, S15",
S9,79,A000L12,Lintel,detail_assets/stone_objects/AI_079.jpg,Lintel,1,Unknown,"Prasat Yeai Poeun, S9 tower",
S17-6,80,A000L13,Lintel,detail_assets/stone_objects/AI_080.jpg,Lintel,2,Unknown,"Prasat Yeai Poeun, S17-6 tower",
S11,81,A000L14,Lintel,detail_assets/stone_objects/AI_081.jpg,Lintel,1,Unknown,"Prasat Yeai Poeun, S11 tower",
N15,82,A000L15,Lintel,detail_assets/stone_objects/AI_082.jpg,Lintel,1,"Prasat Sambor, N15 tower","Prasat Sambor, N15 tower",
M021,83,A000L16,Lintel,detail_assets/stone_objects/AI_083.jpg,Lintel,1,"Prasat Sambor, near N22 tower",Unknown,
S2,84,A000L17,Lintel,detail_assets/stone_objects/AI_084.jpg,Lintel,1,"Prasat Yeai Poeun, S2 tower","Prasat Yeai Poeun, S2 tower",
M052,86,A000L19,Lintel,detail_assets/stone_objects/AI_086.jpg,Lintel,1,Robang Romeas group,Unknown,
M052,88,A000L21,Lintel,detail_assets/stone_objects/AI_088.jpg,Lintel,2,Robang Romeas group,Unknown,
C1,134,A000S25,Statue,detail_assets/stone_objects/AI_134.jpg,Statue,1,"Prasat Tao, C1 tower","Prasat Tao, C1 tower",
C1,135,A000S26,Statue,detail_assets/stone_objects/AI_135.jpg,Statue,2,"Prasat Tao, C1 tower","Prasat Tao, C1 tower",
C1,136,A000S27,Statue,detail_assets/stone_objects/AI_136.jpg,Statue,3,"Prasat Tao, C1 tower","Prasat Tao, C1 tower",
K7,317,B000C01,Colonnette,detail_assets/stone_objects/AI_317.jpg,Colonnette,1,"M.52 (Robang Romeas, K7 tower)","M.52 (Robang Romeas, K7 tower)",
K7,318,B000C02,Colonnette,detail_assets/stone_objects/AI_318.jpg,Colonnette,2,"M.52 (Robang Romeas, K7 tower)","M.52 (Robang Romeas, K7 tower)",
K2,319,B000C03,Colonnette,detail_assets/stone_objects/AI_319.jpg,Colonnette,1,"M.52 (Robang Romeas, K2 tower)","M.52 (Robang Romeas, K2 tower)",
K2,320,B000C04,Colonnette,detail_assets/stone_objects/AI_320.jpg,Colonnette,2,"M.52 (Robang Romeas, K2 tower)","M.52 (Robang Romeas, K2 tower)",
K2,321,B000C05,Colonnette,detail_assets/stone_objects/AI_321.jpg,Colonnette,3,"M.52 (Robang Romeas, K2 tower)","M.52 (Robang Romeas, K2 tower)",
M024,323,B000C07,Colonnette,detail_assets/stone_objects/AI_323.jpg,Colonnette,1,Prasat Yeai Poeun,Unknown,
M024,324,B000C08,Colonnette,detail_assets/stone_objects/AI_324.jpg,Colonnette,2,Prasat Yeai Poeun,Unknown,
M024,325,B000C09,Colonnette,detail_assets/stone_objects/AI_325.jpg,Colonnette,3,Prasat Yeai Poeun,Unknown,
M024,326,B000C10,Colonnette,detail_assets/stone_objects/AI_326.jpg,Colonnette,4,Prasat Yeai Poeun,Unknown,
M024,328,B000C12,Colonnette,detail_assets/stone_objects/AI_328.jpg,Colonnette,5,Prasat Yeai Poeun,Unknown,
M013,329,B000C13,Colonnette,detail_assets/stone_objects/AI_329.jpg,Colonnette,1,M.13 (N20-3 tower),M.13,
M024,330,B000C14,Colonnette,detail_assets/stone_objects/AI_330.jpg,Colonnette,6,Prasat Yeai Poeun,Unknown,
M024,331,B000C15,Colonnette,detail_assets/stone_objects/AI_331.jpg,Colonnette,7,Prasat Yeai Poeun,Unknown,
M051,333,B000F02,Finial,detail_assets/stone_objects/AI_333.jpg,Finial,1,M.51 (Srei Krup Leak),Unknown,
M052,334,B000F03,Finial,detail_assets/stone_objects/AI_334.jpg,Finial,3,M.50 (Mak Pi),M.52 (Robang Romeas),
M051,335,B000F04,Finial,detail_assets/stone_objects/AI_335.jpg,Finial,2,M.51 (Srei Krup Leak),Unknown,
M052,336,B000G01,Pediment,detail_assets/stone_objects/AI_336.jpg,Pediment,4,M.52 (Robang Romeas),Unknown,
K2,337,B000G02,Pediment,detail_assets/stone_objects/AI_337.jpg,Pediment,4,"M.52 (Robang Romeas, K2 tower)","M.52 (Robang Romeas, K2 tower)",
K2,338,B000G03,Pediment,detail_assets/stone_objects/AI_338.jpg,Pediment,5,"M.52 (Robang Romeas, K2 tower)","M.52 (Robang Romeas, K2 tower)",
K2,339,B000G04,Pediment,detail_assets/stone_objects/AI_339.jpg,Pediment,6,"M.52 (Robang Romeas, K2 tower)","M.52 (Robang Romeas, K2 tower)",
M075,340,B000H01,Hook,detail_assets/stone_objects/AI_340.jpg,Hook,1,M.75 (Donmong),M.75 (Donmong),
K6,341,B000I01,Inscription,detail_assets/stone_objects/AI_341.jpg,Inscription,1,"M.52 (Robang Romeas, K6)",Unknown,
N14-2,346,B000L01,Lintel,detail_assets/stone_objects/AI_346.jpg,Lintel,1,Unknown,"Prasat Sambor, N14-2 tower",
M020,347,B000L02,Lintel,detail_assets/stone_objects/AI_347.jpg,Lintel,1,Prasat Sambor(?),Unknown,
S10,348,B000L03,Lintel,detail_assets/stone_objects/AI_348.jpg,Lintel,1,"Prasat Yeai Poeun, S10 tower","Prasat Yeai Poeun, S10 tower",
N11,349,B000L04,Lintel,detail_assets/stone_objects/AI_349.jpg,Lintel,1,"Prasat Sambor, N11 tower","Prasat Sambor, N11 tower",
M039,350,B000L05,Lintel,detail_assets/stone_objects/AI_350.jpg,Lintel,1,"M.39 (Trapeang Ropheak, Z1 Ndoor)","M.39 (Trapeang Ropheak, Z1, N door)",
N20-3,352,B000L07,Lintel,detail_assets/stone_objects/AI_352.jpg,Lintel,1,M.13 (N20-3),M.13 (N20-3),
M031,355,B000L10,Lintel,detail_assets/stone_objects/AI_355.jpg,Lintel,1,M.31 (C6-3),Unknown,
M052,356,B000L11,Lintel,detail_assets/stone_objects/AI_356.jpg,Lintel,5,"M.52 (Robang Romeas, K9 tower)","M.52 (Robang Romeas, K9 tower)",
S8,358,B000L13,Lintel,detail_assets/stone_objects/AI_358.jpg,Lintel,1,"Prasat Yeai Poeun, S8 tower","Prasat Yeai Poeun, S8 tower",
S5,359,B000L14,Lintel,detail_assets/stone_objects/AI_359.jpg,Lintel,1,"Prasat Yeai Poeun, S5 tower","Prasat Yeai Poeun, S5 tower",
K4,360,B000L15,Lintel,detail_assets/stone_objects/AI_360.jpg,Lintel,1,"M.52 (Robang Romeas, K4 tower)","M.52 (Robang Romeas, K4 tower)",
M024,361,B000L16,Lintel,detail_assets/stone_objects/AI_361.jpg,Lintel,8,Prasat Yeai Poeun,Unknown,
N1,367,B000P01,Pedestal,detail_assets/stone_objects/AI_367.jpg,Pedestal,1,"Prasat Sambor, N1 tower (?)",Unknown,
K5,368,B000P02,Pedestal,detail_assets/stone_objects/AI_368.jpg,Pedestal,1,"M.52 (Robang Romeas, K5 tower)","M.52 (Robang Romeas, K5 tower)",
M020,369,B000P03,Pedestal,detail_assets/stone_objects/AI_369.jpg,Pedestal,2,Prasat Sambor,Unknown,
M103,370,B000P04,Pedestal,detail_assets/stone_objects/AI_370.jpg,Pedestal,1,M.103( Khnach Tol),Unknown,
M075,373,B000P07,Pedestal,detail_assets/stone_objects/AI_373.jpg,Pedestal,2,M.75 (Donmong),Unknown,
M075,374,B000P08,Pedestal,detail_assets/stone_objects/AI_374.jpg,Pedestal,3,M.75 (Donmong),Unknown,
M075,375,B000P09,Pedestal,detail_assets/stone_objects/AI_375.jpg,Pedestal,4,M.75 (Donmong),"M.75 (Donmong, north tower)",
M075,376,B000P10,Pedestal,detail_assets/stone_objects/AI_376.jpg,Pedestal,5,M.75 (Donmong),Unknown,
M075,377,B000P11,Pedestal,detail_assets/stone_objects/AI_377.jpg,Pedestal,6,M.75 (Donmong),Unknown,
M075,378,B000P12,Pedestal,detail_assets/stone_objects/AI_378.jpg,Pedestal,7,M.75 (Donmong),Unknown,
M109,379,B000P13,Pedestal,detail_assets/stone_objects/AI_379.jpg,Pedestal,1,M.109 (Toek Sampoch),Unknown,
M026,381,B000S02,Statue,detail_assets/stone_objects/AI_381.jpg,Statue,1,Prasat Tao,Unknown,Site_ID mapping requires confirmation: Prasat Tao
M020,382,B000S03,Statue,detail_assets/stone_objects/AI_382.jpg,Statue,3,Prasat Sambor,Unknown,
